name,point_count
Aleja generała Władysława Andersa,0
Zakopiańska,0
Marii Konopnickiej,0
Tadeusza Ptaszyckiego,0
Jasnogórska,0
Częstochowska,0
Rondo Kocmyrzowskie,0
Plac Centralny imienia Ronalda Reagana,0
Rondo Mogilskie,0
Gustawa Herlinga-Grudzińskiego,0
Most Kotlarski,0
Stanisława Klimeckiego,0
Aleja 29 Listopada,0
Generała Tadeusza Bora-Komorowskiego,0
Opolska,0
Estakada Generała Tadeusza Rozwadowskiego,0
Estakada Generała pilota Mateusza Iżyckiego,0
Lublańska,0
Profesora Adama Rożańskiego,0
Wadowicka,0
Wielicka,0
Czesława Miłosza,0
Aleksandra Lubomirskiego,0
Wita Stwosza,0
Aleja Juliusza Słowackiego,0
Aleja Jana Pawła II,0
Josepha Conrada,0
Rondo Antoniego Matecznego,0
Kotlarska,0
Aleja Adama Mickiewicza,0
Aleja Zygmunta Krasińskiego,0
Generała Henryka Kamieńskiego,0
Pasternik,0
Walerego Eliasza Radzikowskiego,0
Rondo Generała Stanisława Maczka,0
Rondo Ofiar Katynia,0
Pułkownika Ryszarda Kuklińskiego,0
Jana Surzyckiego,0
Krakowska,0
Igołomska,0
Skotnicka,0
Góra Libertowska,0
Myślenicka,0
Śląska,0
Christo Botewa,0
Rybitwy,0
Aleja Powstania Warszawskiego,0
Tadeusza Śliwiaka,0
Lipska,0
Warszawska,0
Północna Obwodnica Wieliczki,0
Rondo Grzegórzeckie,0
Szlachecka,0
Most Dębnicki,0
Obwodnica Skawiny,0
"Rondo podporucznika ""Ułanów Karpackich"" Tomasza Skrzyńskiego",0
Józefa Piłsudskiego,0
Olkuska,0
Rondo Marii i Lecha Kaczyńskich,0
Dominika Ździebły-Danowskiego,0
